id,character,skeletal_element,anatomical_region,character_type,multistate_type,character_designation,character_significance,uberon_ID,description,number_of_states,state_code,notes,Collard and Wood (2000),Dembo et al. (2015),Strait et al. (1997),Strait and Grine (2004)
128,Canine jugum development,Maxilla,CR,D,OM,PHY,,UBERON:0002397,The development of canine jugum.,2,Weak (0); Moderate (1); Marked (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,The development of canine jugum. (Ordered). States: Weak (0); Moderate (1); Marked (2),,
129,Canine root orientation,Maxilla,CR,D,UM,PHY,,UBERON:0002397,The orientation of the canine root relative to parasagittal plane.,3,Inclined (0); Parallel (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the canine root relative to parasagittal plane. (Unordered). States: Inclined (0); Parallel (1),,
130,Canine fossa,Maxilla,CR,D,UM,PHY,,UBERON:0002397,"The presence of a canine fossa, canine groove or canine fossula.",2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,"The presence of a canine fossa, canine groove or canine fossula. (Unordered). Absent (0); Present (1)",,
131,Maxillary trigone,Maxilla,CR,D,UM,PHY,,UBERON:0002397,"The presence of maxillary trigon, a gutter-like triangular depression in the infraorbital region.",2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The presence of maxillary trigon, a gutter-like triangular depression in the infraorbital region. (Unordered). States: Absent (0); Present (1)",,"Unlike other P. boisei crania, KGA 10-525 possesses a maxillary trigon (Suwa et al., 1997). Paranthropus boisei is therefore considered variable in this feature. Pg. 442"
132,Maxillary sinus size,Maxilla,CR,D,UM,PHY,,UBERON:0002397,The size of maxillary sinus.,2,Intermediate (0); Large (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The size of maxillary sinus. (Unordered). States: Intermediate (0); Large (1),,
133,Maxillary sinus division,Maxilla,CR,D,UM,PHY,,UBERON:0002397,The position of the main division of the maxillary sinus floor.,2,Posterior (0); Anterior (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the main division of the maxillary sinus floor. (Unordered). States: Posterior (0); Anterior (1),,
134,Infraorbital plate orientation,Maxilla,CR,D,UM,PHY,,UBERON:0002397,"The orientation of the infraorbital plate, measured by the position of the inferior margin of the infraorbital region, which is demarcated by the zygomaticoalveolar crest relative to the coronal plane of the orbit.",2,Sloped (0); Vertical (1); Lateral (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The orientation of the infraorbital plate, measured by the position of the inferior margin of the infraorbital region, which is demarcated by the zygomaticoalveolar crest relative to the coronal plane of the orbit. (Unordered). States: Slope (0); Vertical (1); Lateral (2)",,
135,Sulcus infraorbitalis,Maxilla,CR,D,UM,PHY,,UBERON:0002397,The width of a infraorbital sulcus.,3,Absent (0); Narrow (1); Wide (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The width of a infraorbital sulcus. (Unordered). States: Absent (0); Narrow (1); Wide (2),,
136,Anterior zygomatic root position,Maxilla,CF,D,OM,PHY,,UBERON:0002397,The position of the anterior zygomatic root along tooth row.,3,P3-P4 (0); P4-M1 (1); M1 (2); M1-M2 (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,The position of the anterior zygomatic root along tooth row. (Ordered). States: P3-P4 (0); P4-M1 (1); M1 (2); M1-M2 (3),,
137,Zygomaticoalveolar crest,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The curvature of the zygomaticoalveolar crest.,4,Straight (0); Curved (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,The curvature of the zygomaticoalveolar crest. (Unordered). States: Straight (0); Curved (1),,
138,Malar diagonal length,Zygomatic,CR,D,OM,PHY,,UBERON:0001683,The index of orbitale-zygomaxillare divided by orbital height.,2,Long (0); Intermediate (1); Short (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index of orbitale-zygomaxillare divided by orbital height. (Ordered). States: Long (0); Intermediate (1); Short (2),,
139,Malar orientation,Zygomatic,CR,D,OM,PHY,,UBERON:0001683,The orientation of the anterior malar surface relative to Frankfurt Horizontal,3,Posteriorly inclined (0); Vertical (1); Anteriorly inclined (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the anterior malar surface relative to Frankfurt Horizontal. (Ordered). States: Posteriorly inclined (0); Vertical (1); Anteriorly inclined (2),,
140,Zygomatic insertion height,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The insertion of the zygomaticoalveolar crest onto the alveolar border.,3,Low (0); High (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The insertion of the zygomaticoalveolar crest onto the alveolar border. (Unordered). States: Low (0); High (1),,
141,Zygomatic bone orientation,Zygomatic,CF,D,OM,PHY,,UBERON:0001683,The orientation of the zygomatic bone relative to the frontal.,2,Frontal (0); Frontolateral (1); Lateral (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the zygomatic bone relative to the frontal. (Ordered). States: Frontal (0); Frontolateral (1); Lateral (2),,
142,Mediolateral thickness of zygomatic arch at root of frontal process,Zygomatic,CF,C,UM,PHY,,UBERON:0001683,The thickness of the zygomatic arch. (Thick>8mm; Thin<8 mm),3,Thin (0); Thick (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The thickness of the zygomatic  arch. (Thick>8 mm; Thin<8 mm) (Unordered). States: Thin (0); Thick (1),,
143,Expansion of medial edge of frontal process of zygomatic bone,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The presence of a lateral flair of the frontal process of the zygomatic.,2,Vertical (0); Laterally divergent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a lateral flair of the frontal process of the zygomatic. (Unordered). States: Vertical (0); Laterally divergent (1),,
144,Angular indentation of lateral orbital margin,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The curvature of the lateral orbital margin.,2,Indented (0); Curved (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The curvature of the lateral orbital margin. (Unordered). States: Indented (0); Curved (1),,
145,Masseter origin height,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The index of zygomaticoalveolar height relative to orbitoalveolar height.,2,Low (0); High (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index of zygomaticoalveolar height relative to orbitoalveolar height. (Unordered). States: Low (0); High (1),,
146,Zygomatic temporal surface,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,"The thickness of the body of the zygomatic bone. ""Deeply excavated"" surface is thinner in the centre of the body.",2,Flat (0); Deeply excavated (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The thickness of the body of the zygomatic bone. ""Deeply excavated"" surface is thinner in the center of the body. (Unordered). States: Flat (0); Deeply excavated (1)",,
147,Zygomatic prominence development,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The development of the zygomatic prominence.,2,Prominent (0); Slight (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of the zygomatic prominence. (Unordered). States: Prominent (0); Slight (1),,
148,Zygomaticomaxillary steps to fossae present,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The presence of zygomaticomaxillary steps to fossae.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of zygomaticomaxillary steps to fossae. (Unordered). States: Absent (0); Present (1),,
149,Zygomatic arch relative to inferior orbital margin,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The position of the zygomatic arch relative to the inferior orbital margin.,2,Above (0); Level (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the zygomatic arch relative to the inferior orbital margin. (Unordered). States: Above (0); Level (1),,
150,Position of zygomatic angle,Zygomatic,CF,D,OM,PHY,,UBERON:0001683,The position of the angle formed between the frontal and temporal processes of the zygomatic relative to the inferior orbital margin.,2,Below orbit (0); At orbit (1); Above orbit (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the angle formed between the frontal and temporal processes of the zygomatic relative to the inferior orbital margin. (Ordered). States: Below orbit (0); At orbit (1); Above orbit (2),,
151,Lateral flaring of zygomatic arch development,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The development of the lateral flaring of zygomatic arches.,3,Marked (0); Slight (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of the lateral flaring of zygomatic arches. (Unordered). States: Marked (0); Slight (1),,
152,Zygomatic arch alignment,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The outline of the zygomatic arch from the superior view. This character refers to the orientation of the zygomatic arch at midpoint; whether it is parallel to the sagittal plane or not.,2,Sagittal (0); Deviant (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The outline of the zygomatic arch from the superior view. This character refers to the orientation of the zygomatic arch at midpoint; whether it is parallel to the sagittal plane or not. (Unordered). States: Sagittal (0); Deviant (1),,
153,Zygomatic process root,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The number of planes at the root of the zygomatic process. The surface of the zygomatic process root lateral to the articular tubercle is divided into two surfaces by a very strong ridge that extends from the lateral edge of the articular tubercle.,2,Undivided (0); Divided (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The number of planes at the root of the zygomatic process root lateral to the articular tubercle is divided into two surfaces by a very strong ridge that extends from the lateral edge of the articular tubercle. (Unordered). States: Undivided (0); Divided (1),,
154,Temporal fossae size,Temporal,CR,D,OM,PHY,,UBERON:0001678,The index of temporal fossa size divided by orbital area.,2,Large (0); Intermediate (1); Small (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index of temporal fossa size divided by orbital area. (Ordered). States: Large (0); Intermediate (1); Small (2),,
155,Articular eminence position relative to occlusal plane,Temporal,CR,D,UM,PHY,,UBERON:0001678,"The perpendicular distance between the articular eminence and the occlusal plane, divided by the geometric mean (bi-entoglenoid breadth, bi-carotid breadth, FM length, basioccipital length).",3,High above plane (0); Near plane (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The perpendicular distance between the articular eminence and the occlusal plane, divided by the geometric mean (bi-entoglenoid breadth, bi-carotid breadth, FM length, basioccipital length). (Unordered). States: High above plane (0); Near plane (1)",,
156,Articular eminence summit,Temporal,CR,D,UM,PHY,,UBERON:0001678,The position of the maximum convexity of articular eminence relative to the plane of the posterior edge of temporal foramen.,2,Posterior (0); Anterior (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the maximum convexity of articular eminence relative to the plane of the posterior edge of temporal foramen. (Unordered). States: Posterior (0); Anterior (1),,
157,Articular eminence form,Temporal,CR,D,UM,PHY,,UBERON:0001678,The angulation of the long axis of the articular eminence in basal view.,2,Single plane (0); Mediolateral twisted (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The angulation of the long axis of the articular eminence in basal view. (Unordered). States: Single plane (0); Mediolateral twisted (1),,
158,Posterior slope of articular tubercle,Temporal,CR,D,OM,PHY,,UBERON:0001678,The degree and the length of posterior portion of the articular tubercle on the zygomatic.,2,Short (0); More pronounced (1); Steep (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The degree and the length of posterior portion of the articular tubercle on the zygomatic. (Ordered). States: Short (0); More pronounced (1); Steep (2),,
159,Articular tubercle development,Temporal,CR,D,UM,PHY,,UBERON:0001678,The development of the articular tubercle on the zygomatic.,3,Not developed (0); Developed (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of the articular tubercle on the zygomatic. (Unordered). States: Not developed (0); Developed (1),,
160,Articular tubercle projection,Temporal,CR,D,UM,PHY,,UBERON:0001678,The projection of the articular tubercle.,2,Not or slightly projecting (0); Projecting (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The projection of the articular tubercle. (Unordered). States: Not or slightly projecting (0); Projecting (1),,
161,Articular tubercle and sub-temporal plane continuity,Temporal,CR,D,UM,PHY,,UBERON:0001678,The continuity of the articular tubercle with the subtemporal plane.,2,Continuous (0); Not continuous (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The continuity of the articular tubercle with the subtemporal plane. (Unordered). States: Continuous (0); Not continuous (1),,
162,Articular tubercle anteroposterior curvature,Temporal,CR,D,UM,PHY,,UBERON:0001678,The anteroposterior curvature of the articular tubercle in norma lateralis.,2,Flat (0); Large rounded profile (1); Small rounded profile (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The anteroposterior curvature of the articular tubercle in norma lateralis. (Unordered). States: Flat (0); Large rounded profile (1); Small rounded profile (2),,
163,Transverse concavity of articular tubercle,Temporal,CR,D,UM,PHY,,UBERON:0001678,The concavity of the articular tubercle in norma frontalis.,3,Flat (0); Large rounded profile (1); Small rounded profile (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The concavity of the articular tubercle in norma frontalis. (Unordered). States: Flat (0); Large rounded profile (1); Small rounded profile (2),,
164,Integration of entoglenoid formation with articular tubercle,Temporal,CR,D,UM,PHY,,UBERON:0001678,The integration of the entoglenoid process or spine with articular tubercle.,3,Not integrated (0); Integrated (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The integration of the entoglenoid process or spine with the articular tubercle. (Unordered). States: Not integrated (0); Integrated (1),,
165,Ectoglenoid crest,Temporal,CR,D,UM,PHY,,UBERON:0001678,The presence of ectoglenoid crest.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of ectoglenoid crest. (Unordered). States: Absent (0); Present (1),,
